customer_id,customer_full_name,customer_phone_number,customer_email,customer_age,customer_created_ts,last_purchase_items,last_purchase_value,total_value,seniority_days,is_high_value
7893,Justin Logan,001-757-503-2300,justin.logan@yahoo.com,32,2024-08-07 10:19:03.205635,Mouse,1868.01,5932.44,596,0
5515,Cody Cox,655.722.3664x832,cody.cox@hotmail.com,52,2023-04-26 06:46:43.678061,Monitor|Mouse|Keyboard,1348.86,9223.59,1065,0
2891,Sherry Estrada,458-246-2736,sherry.estrada@yahoo.com,22,2023-10-03 18:15:44.548385,Monitor|Laptop|Mouse,1080.27,7140.44,904,0
6903,Allison Gaines,001-731-794-5864x0032,allison.gaines@yahoo.com,57,2022-12-16 00:08:48.752026,Mouse|Keyboard,1021.87,7315.28,1196,0
4897,Alicia Martin,870-712-9448x01015,alicia.martin@hotmail.com,20,2024-11-29 15:34:49.235705,Keyboard|Desk Lamp|Monitor,1315.24,5428.39,482,0
8527,Benjamin Morris,+1-270-377-4466x7061,benjamin.morris@gmail.com,65,2021-05-08 18:18:10.187887,Mouse|Phone,1189.66,3355.53,1782,0
5472,Kimberly Anderson,879-887-4404,kimberly.anderson@gmail.com,41,2023-07-15 03:44:34.653743,Mouse|Phone|Laptop|Keyboard,1590.9,5252.72,985,0
8262,Julie Butler,461-462-7808x62990,julie.butler@gmail.com,50,2021-08-18 22:27:33.262671,Mouse,404.24,3570.26,1680,0
3291,Elizabeth Ortiz,(397)577-8737x917,elizabeth.ortiz@gmail.com,41,2024-12-05 08:43:56.943138,Mouse,67.76,560.46,476,0
7199,Linda Henry,(897)872-4330,linda.henry@yahoo.com,62,2023-05-29 14:18:13.132226,Keyboard,300.84,2133.88,1032,0
5964,Sarah Collins,+1-746-388-5802x8085,sarah.collins@gmail.com,44,2024-02-09 14:28:34.387968,Laptop|Desk Lamp|Phone,950.97,5929.64,776,0
7938,Samantha Salinas,+1-431-669-6915x6889,samantha.salinas@gmail.com,47,2024-06-29 01:13:10.367442,Phone|Keyboard|Laptop|Mouse,1452.1,9051.57,635,0
8089,Malik Larsen,+1-433-457-6459x703,malik.larsen@gmail.com,58,2023-06-19 12:22:47.243920,Desk Lamp|Mouse,1220.58,11534.05,1011,0
7890,Julia Jones,378-429-2506x145,julia.jones@yahoo.com,57,2025-10-18 08:02:23.597419,Desk Lamp|Mouse|Keyboard,1102.85,9868.08,159,0
6474,Robert Hensley,310.362.0224x758,robert.hensley@yahoo.com,42,2022-02-02 13:25:35.332783,Keyboard,1511.38,14390.1,1513,0
9135,Sherri Russell,610-477-2643,sherri.russell@hotmail.com,60,2025-07-04 12:36:53.747286,Monitor|Desk Lamp|Mouse,1385.49,10224.67,265,0
3519,Jay Smith,586-751-6013,jay.smith@hotmail.com,65,2023-06-10 23:59:52.970401,Mouse|Desk Lamp|Phone|Laptop,1858.37,18134.79,1019,0
9220,James Harris,+1-267-715-8111,james.harris@hotmail.com,47,2025-05-23 22:48:54.398482,Monitor|Desk Lamp|Mouse|Laptop,1150.84,10117.63,306,0
8212,Heidi Brock,601-469-1836x93388,heidi.brock@gmail.com,24,2023-02-23 20:08:16.534153,Desk Lamp|Laptop|Mouse|Monitor,157.76,305.95,1126,0
8231,Erin Garcia,+1-983-923-3823x95136,erin.garcia@yahoo.com,19,2023-08-04 20:17:05.790594,Mouse,911.9,6086.37,964,0
5461,Edward Fisher,291.967.5505,edward.fisher@gmail.com,39,2023-04-10 03:00:13.968057,Keyboard|Laptop|Desk Lamp|Mouse,936.2,5622.14,1081,0
6630,Kelly Smith,642-874-8953x79784,kelly.smith@gmail.com,33,2021-12-10 07:03:09.411561,Phone|Mouse,43.28,225.48,1567,0
4791,Robert Hill,+1-904-769-6007x671,robert.hill@yahoo.com,36,2022-12-19 11:30:17.981565,Keyboard|Mouse,1587.29,11977.52,1193,0
3899,Emily Wilson,(392)740-3716,emily.wilson@yahoo.com,34,2023-01-27 03:41:05.005596,Mouse|Keyboard|Laptop|Desk Lamp,1228.13,11126.6,1154,0
5351,James Mason,879.646.0769,james.mason@hotmail.com,34,2024-05-07 23:52:46.613849,Keyboard|Laptop,397.72,1848.26,687,0
2763,Kelly Dunlap,717.747.9703,kelly.dunlap@hotmail.com,31,2023-07-08 00:56:39.022289,Laptop,1482.42,13622.26,992,0
2743,Andre Klein,393.925.6227,andre.klein@yahoo.com,37,2023-10-08 04:43:26.842386,Phone|Laptop|Mouse,1192.37,9711.58,900,0
1142,Lauren Thornton,(213)304-7616x83309,lauren.thornton@gmail.com,55,2022-05-29 19:03:09.656161,Phone,1174.39,3924.12,1396,0
6077,Sheri Barnes,(628)938-3604x5304,sheri.barnes@gmail.com,52,2022-03-03 04:11:11.247857,Laptop|Desk Lamp|Keyboard|Monitor,878.9,6669.69,1484,0
5474,Lee Barnett,(635)331-5703,lee.barnett@hotmail.com,47,2021-10-03 09:23:24.350195,Mouse|Desk Lamp|Keyboard|Phone,1996.92,6278.57,1635,0
2998,Angela Lewis,001-436-770-3701x5797,angela.lewis@hotmail.com,33,2023-05-29 23:55:37.599232,Mouse|Laptop|Keyboard,1864.86,7974.82,1031,0
4076,Daniel Roach,001-347-876-7085x03539,daniel.roach@gmail.com,55,2024-02-17 07:43:21.585005,Desk Lamp,717.44,5231.99,768,0
5518,Mark Scott,001-443-561-0484,mark.scott@yahoo.com,64,2023-07-14 01:01:51.020776,Desk Lamp|Mouse|Monitor,1812.51,15534.9,986,0
9206,Eileen Martinez,001-397-628-1112x7081,eileen.martinez@hotmail.com,48,2023-05-14 06:25:50.774441,Desk Lamp|Mouse|Phone|Laptop,1506.24,12668.22,1047,0
3378,Susan Garcia,(267)341-1432x2334,susan.garcia@hotmail.com,40,2025-07-24 17:19:35.419144,Laptop|Phone|Keyboard,166.92,408.39,244,0
1239,Richard Deleon,5694622230,richard.deleon@gmail.com,38,2022-10-01 21:34:33.364185,Phone|Laptop|Keyboard,248.32,1295.06,1271,0
8789,Joseph Roberts,(986)678-7297x524,joseph.roberts@yahoo.com,60,2025-04-21 23:40:05.735394,Monitor|Laptop|Phone|Keyboard,1704.66,4132.2,338,0
2005,Christine Shaw,612-521-8130,christine.shaw@hotmail.com,39,2024-11-01 12:53:30.131431,Monitor|Phone,224.59,1850.15,510,1
3205,Heather Mcbride,(545)558-8610x0548,heather.mcbride@hotmail.com,27,2025-12-06 19:21:52.251513,Phone|Mouse|Keyboard,907.19,4969.76,109,0
3913,Robert Lee,001-580-635-9459x730,robert.lee@gmail.com,22,2021-08-11 23:47:46.583480,Laptop|Monitor,612.62,975.61,1687,0
8281,Bruce Bush,842-831-4326,bruce.bush@gmail.com,34,2023-11-26 19:54:32.693400,Mouse|Laptop|Phone,1888.56,9211.97,850,0
8686,Wendy Grant,(901)414-9439,wendy.grant@yahoo.com,56,2023-10-08 20:54:35.021040,Monitor|Mouse|Desk Lamp|Keyboard,912.47,3086.62,899,0
7393,Andrew Freeman,413.488.4938x6219,andrew.freeman@hotmail.com,54,2023-09-03 08:31:19.306420,Keyboard|Phone|Mouse|Desk Lamp,1173.16,8357.79,935,0
6477,Ryan Rodgers,706.765.6468,ryan.rodgers@hotmail.com,40,2025-01-20 19:21:13.684656,Desk Lamp|Monitor,1258.85,7188.15,429,1
7603,Trevor Ford,333.590.4351,trevor.ford@yahoo.com,39,2025-12-18 14:58:38.900335,Keyboard|Desk Lamp|Mouse|Monitor,982.48,7283.23,98,0
2501,Lucas Estes,284.544.1671x00203,lucas.estes@yahoo.com,21,2022-06-19 07:50:59.516443,Mouse|Phone|Monitor,1621.33,12897.86,1376,0
7668,Jennifer Rose,660-509-2534,jennifer.rose@yahoo.com,35,2025-12-08 15:36:00.958226,Phone|Desk Lamp|Laptop|Monitor,1481.33,3886.15,108,0
8324,David Dixon,001-643-761-4462x2159,david.dixon@gmail.com,53,2023-12-13 19:17:51.849888,Phone,630.19,1053.72,833,0
8826,Richard Johnson,001-491-610-2386,richard.johnson@gmail.com,21,2022-05-05 04:07:37.139411,Desk Lamp|Phone|Mouse,561.89,2485.77,1421,0
5603,Wendy Salinas,+1-307-461-0440x5951,wendy.salinas@gmail.com,28,2024-12-14 13:02:58.471246,Desk Lamp|Monitor,1408.32,9413.34,467,1
4490,Joy White,001-922-507-2677x47001,joy.white@gmail.com,38,2025-05-14 19:52:42.959058,Laptop|Phone|Keyboard,1875.82,10439.49,315,0
6974,Kevin Gibson,001-580-796-8363x130,kevin.gibson@gmail.com,35,2023-10-10 09:17:14.690631,Mouse|Laptop|Desk Lamp,815.99,4268.17,898,0
3235,Karen Walsh,350.793.1755x451,karen.walsh@yahoo.com,31,2024-09-04 18:09:29.687909,Mouse|Phone|Monitor,1487.43,3691.43,567,1
2610,Darrell Robbins,898.268.9960x09345,darrell.robbins@gmail.com,44,2022-05-07 14:25:39.864896,Desk Lamp|Laptop|Phone,952.87,3753.76,1419,0
4804,Lauren Reyes,+1-707-724-9969x160,lauren.reyes@yahoo.com,44,2025-04-05 02:29:03.434852,Mouse,1773.8,4725.78,355,0
9406,Stephanie Hughes,+1-340-818-3519,stephanie.hughes@hotmail.com,18,2023-02-18 09:31:51.632621,Desk Lamp|Monitor|Laptop,145.3,1082.39,1132,0
7002,Erika Parker,259-861-8420x9096,erika.parker@gmail.com,19,2024-02-03 08:34:41.884595,Mouse|Desk Lamp|Monitor,573.18,1880.69,782,0
3237,Olivia Smith,774-267-9716x848,olivia.smith@yahoo.com,33,2023-01-10 12:43:57.329149,Keyboard|Laptop|Mouse|Desk Lamp,862.55,4296.27,1171,0
8637,Norman Walker,6154800058,norman.walker@gmail.com,60,2022-02-22 04:13:22.099370,Keyboard,1566.22,15499.28,1493,0
6882,Kevin Anthony,(813)333-0371,kevin.anthony@yahoo.com,32,2022-10-01 08:06:38.066864,Desk Lamp|Keyboard|Monitor|Mouse,840.45,5441.7,1272,1
6780,Tiffany Paul,513.497.5390,tiffany.paul@gmail.com,53,2022-08-23 16:56:22.383011,Mouse|Keyboard|Desk Lamp|Phone,1872.83,8533.64,1310,0
7930,Erin Neal,(244)661-1800,erin.neal@hotmail.com,35,2025-05-13 22:20:31.068990,Laptop|Keyboard|Desk Lamp,1705.98,11168.31,316,0
3174,Laura Arias,+1-598-404-3786x8295,laura.arias@yahoo.com,61,2024-10-05 22:29:03.995856,Phone|Mouse|Laptop|Desk Lamp,380.26,3107.04,536,0
4430,Miranda Jones,(926)788-0684x6721,miranda.jones@yahoo.com,46,2025-06-20 03:51:38.944719,Desk Lamp|Monitor|Mouse|Laptop,532.32,2474.25,279,0
5927,Justin Scott,001-809-971-3297,justin.scott@hotmail.com,54,2022-04-25 07:25:47.009318,Mouse|Laptop|Phone|Desk Lamp,370.73,1103.46,1431,0
4428,Manuel Wright,+1-252-805-5158x872,manuel.wright@gmail.com,44,2023-12-15 04:20:24.679163,Phone|Keyboard|Mouse,842.57,6433.14,832,0
6476,John Dudley,8838362629,john.dudley@gmail.com,21,2023-07-11 06:47:30.955427,Keyboard|Laptop|Mouse|Monitor,163.51,1368.8,989,0
7463,Jamie Smith,271-955-2769,jamie.smith@gmail.com,19,2024-09-18 15:48:42.452007,Phone|Monitor,1636.55,13154.74,554,0
5319,Valerie Smith,(935)946-8325,valerie.smith@gmail.com,21,2023-01-24 01:51:34.059802,Laptop|Keyboard,441.63,2746.45,1157,0
2446,Samantha Harding,918-784-3301,samantha.harding@hotmail.com,41,2024-04-26 16:10:20.632094,Desk Lamp|Monitor|Mouse|Laptop,1034.87,4501.12,699,0
5913,Mary Mcdowell,+1-200-243-5254x76481,mary.mcdowell@yahoo.com,46,2026-03-01 00:34:58.090433,Mouse|Keyboard|Laptop,797.46,4368.91,25,0
9601,Kimberly Navarro,914-427-0446x812,kimberly.navarro@yahoo.com,43,2025-08-27 21:14:01.788418,Keyboard|Mouse,301.74,1627.56,210,0
4375,Michelle Frazier,(451)688-0103x14470,michelle.frazier@hotmail.com,26,2023-04-10 19:14:38.072786,Monitor|Keyboard,706.97,6059.89,1080,1
8951,Jared Hughes,001-808-687-7632x154,jared.hughes@hotmail.com,52,2022-08-09 05:14:18.864117,Desk Lamp,556.05,3907.94,1325,0
1708,Roberto Harmon,001-775-208-8726,roberto.harmon@gmail.com,37,2026-03-03 03:29:27.603918,Laptop,1150.59,4175.18,23,0
2383,Stephanie Everett,222-244-1558,stephanie.everett@hotmail.com,33,2025-11-22 16:35:40.469487,Desk Lamp|Monitor|Phone|Keyboard,1572.27,4189.78,123,0
2281,Craig Cooke,(445)904-0659x20822,craig.cooke@gmail.com,29,2023-11-13 15:59:45.828722,Laptop|Mouse|Keyboard|Desk Lamp,668.07,5912.31,864,0
1836,Christina Davis,(410)541-8614x71244,christina.davis@gmail.com,24,2021-05-17 19:17:54.607633,Monitor|Desk Lamp|Phone,847.46,1778.21,1773,0
1444,Brenda Watson,896.683.0839,brenda.watson@gmail.com,30,2021-06-17 18:27:54.895189,Phone|Monitor,1962.92,13229.54,1742,1
2982,James Jenkins,001-578-831-7540x50586,james.jenkins@yahoo.com,55,2022-12-24 19:21:43.541034,Keyboard|Laptop,1454.08,12347.87,1187,0
9287,Alexander Gonzalez,760.399.2507x8020,alexander.gonzalez@gmail.com,30,2025-03-26 17:15:33.027193,Laptop|Mouse|Phone,432.61,2692.64,364,0
3943,Jackson Diaz,770.298.3003x47445,jackson.diaz@hotmail.com,45,2025-02-12 21:51:12.917479,Mouse|Laptop,1644.99,3220.74,406,0
7453,Monica Adams,825-227-4547x708,monica.adams@yahoo.com,52,2025-10-03 20:09:06.096751,Mouse,149.55,1061.32,173,0
8475,Sarah Henderson,703-610-0859x33991,sarah.henderson@hotmail.com,48,2023-08-26 17:44:18.474694,Mouse|Laptop|Monitor,912.98,8878.96,942,0
5924,Jason Jones,001-389-760-2898,jason.jones@gmail.com,34,2025-07-08 20:15:47.824973,Mouse|Monitor,533.63,4291.31,260,1
9293,Nicole Rivas,630.986.4319x65906,nicole.rivas@gmail.com,26,2023-08-07 23:49:04.219287,Mouse|Desk Lamp|Keyboard|Laptop,1727.27,17062.97,961,0
6024,Stephanie Schultz,001-914-278-3226x8501,stephanie.schultz@gmail.com,36,2023-06-02 11:13:18.496019,Mouse|Phone|Keyboard|Monitor,1304.01,5025.51,1028,1
3753,Allen Simmons,001-466-224-9720x2376,allen.simmons@hotmail.com,32,2024-02-03 07:44:04.960201,Keyboard|Desk Lamp|Laptop,1923.95,4882.39,782,0
6677,Brian Williams,001-431-817-9269x9367,brian.williams@hotmail.com,54,2021-08-14 03:19:06.021026,Mouse|Phone|Keyboard|Laptop,148.2,475.01,1685,0
9202,Thomas Nichols,+1-647-579-8892,thomas.nichols@gmail.com,42,2022-03-19 09:38:36.398911,Laptop,829.24,6553.65,1468,0
2366,Lori Garner,515-295-9253,lori.garner@hotmail.com,47,2023-12-29 18:16:53.268359,Phone|Monitor|Desk Lamp,387.41,3676.05,817,0
2414,David Hamilton,636.741.5952x4871,david.hamilton@yahoo.com,23,2021-08-02 23:36:58.630542,Keyboard|Monitor|Laptop|Mouse,285.07,828.88,1696,0
8515,Brandon Baker,471.870.6036x98478,brandon.baker@yahoo.com,41,2025-11-02 19:35:24.681006,Mouse|Desk Lamp|Phone|Laptop,611.71,2139.68,143,0
5420,Ronald Lloyd,972.430.2847x54272,ronald.lloyd@gmail.com,20,2024-09-11 11:51:05.003507,Laptop|Mouse|Monitor,1800.54,8241.85,561,0
7794,Brandi Lewis,5044218163,brandi.lewis@hotmail.com,31,2022-02-16 00:50:21.787189,Desk Lamp|Monitor|Mouse,616.78,1427.52,1499,1
9288,Logan Miller,(844)474-4358x683,logan.miller@gmail.com,64,2025-02-08 14:55:26.412520,Keyboard|Monitor,1060.61,8373.67,411,0
5154,Kevin Clark,+1-421-935-2646,kevin.clark@hotmail.com,39,2025-04-13 12:07:17.103720,Phone|Mouse,266.66,1029.8,347,0
7743,Abigail Thomas,406.461.4692x14880,abigail.thomas@gmail.com,40,2024-08-29 03:40:15.666177,Phone|Keyboard,747.15,6905.43,574,0
4343,Bianca Gomez,5027635067,bianca.gomez@gmail.com,28,2024-11-21 00:02:06.395564,Phone|Laptop,1621.94,9416.71,490,0
8193,Robert Payne,001-979-581-8926x11888,robert.payne@hotmail.com,58,2024-02-23 02:31:18.801902,Monitor|Phone|Keyboard,732.98,3055.68,762,0
8701,Mark Ramirez,001-941-411-9229x576,mark.ramirez@hotmail.com,37,2025-07-27 10:11:54.680207,Monitor|Phone|Laptop,1486.21,6104.16,242,1
6412,Benjamin Cordova,001-529-676-6548x5672,benjamin.cordova@yahoo.com,55,2024-08-24 05:27:14.970657,Desk Lamp|Laptop,493.06,4471.23,579,0
9078,David Johnson,9065530668,david.johnson@hotmail.com,64,2021-06-19 08:12:33.912322,Phone|Monitor,710.64,5788.05,1741,0
2584,Richard Marshall,3605138751,richard.marshall@yahoo.com,24,2025-11-06 16:14:44.871903,Monitor,1190.09,5822.7,140,0
4671,Teresa Williams,281.406.8185x1198,teresa.williams@gmail.com,62,2022-01-14 09:43:11.611891,Mouse,771.23,3463.21,1532,0
2157,Kimberly Peterson,001-239-324-7296,kimberly.peterson@yahoo.com,53,2024-09-15 06:31:17.800796,Desk Lamp|Phone,838.8,4304.81,557,0
9017,Adrian Kelley,+1-919-950-0989,adrian.kelley@gmail.com,44,2023-07-17 17:40:57.152068,Desk Lamp|Phone|Keyboard,716.92,1365.14,982,0
7248,Tara Crawford,+1-856-294-5692,tara.crawford@gmail.com,42,2023-04-14 16:46:12.654447,Mouse,674.95,4518.4,1076,0
4301,Carol Arias,4927625667,carol.arias@yahoo.com,25,2023-01-08 17:46:01.397968,Phone|Laptop|Desk Lamp|Monitor,789.29,3236.33,1172,1
2707,Joseph Schmitt,8959242500,joseph.schmitt@gmail.com,19,2025-11-28 05:09:30.349359,Phone|Desk Lamp|Monitor|Laptop,813.49,2270.37,118,0
7887,Paul Rasmussen,(289)904-1304x47582,paul.rasmussen@hotmail.com,18,2022-08-04 02:01:55.812037,Desk Lamp|Laptop|Mouse|Phone,1216.68,8173.53,1330,0
6227,Alicia Thomas,+1-651-253-1600x0777,alicia.thomas@yahoo.com,53,2024-02-18 22:56:34.492434,Mouse|Phone|Desk Lamp|Monitor,1998.88,17632.17,766,0
2515,Ryan Edwards,(724)418-3815,ryan.edwards@hotmail.com,38,2023-10-21 01:50:18.344245,Keyboard|Mouse|Monitor,283.39,747.02,887,1
3722,Savannah Frank,001-216-622-2487x343,savannah.frank@hotmail.com,47,2023-06-21 22:23:21.062535,Phone|Monitor,1323.13,9991.27,1008,0
8709,Adam Ruiz,3638363204,adam.ruiz@gmail.com,40,2021-09-30 12:23:47.901111,Mouse|Desk Lamp|Monitor|Laptop,200.2,1821.08,1638,1
1494,Brian Patel,607-409-4835,brian.patel@hotmail.com,56,2022-10-31 18:34:47.389627,Monitor|Desk Lamp,30.53,294.61,1241,0
4031,Chase Cain,335.611.4129,chase.cain@hotmail.com,48,2022-04-18 12:01:57.323461,Mouse|Phone,330.7,1429.55,1438,0
3919,Matthew Duncan,2634640317,matthew.duncan@yahoo.com,50,2021-07-27 00:34:33.932312,Laptop|Desk Lamp|Phone|Monitor,352.24,2993.95,1703,0
1975,Meagan Simmons,(625)287-0355,meagan.simmons@yahoo.com,25,2023-08-02 15:13:03.670950,Monitor|Laptop,309.2,2405.81,967,1
8801,Kevin Gibson,+1-327-899-9830x5527,kevin.gibson@yahoo.com,21,2023-08-17 20:26:10.367295,Mouse|Keyboard,1638.1,2753.2,951,0
8615,Amy Robertson,(225)709-2747,amy.robertson@gmail.com,36,2022-03-07 14:02:22.833518,Mouse|Phone|Monitor,1902.39,17426.97,1480,1
7933,Wyatt Burnett,(473)439-0825x54774,wyatt.burnett@yahoo.com,56,2024-08-08 15:15:42.964723,Keyboard|Desk Lamp|Mouse,1887.83,12931.72,595,0
8656,Ronald Cannon,508.763.0638x8303,ronald.cannon@gmail.com,18,2022-07-08 10:48:30.131886,Mouse|Desk Lamp|Phone|Monitor,1127.44,2321.13,1357,0
2309,Joseph Garcia,954-392-7390x7840,joseph.garcia@yahoo.com,35,2025-11-19 13:16:12.597183,Desk Lamp|Mouse|Keyboard,985.56,2403.54,127,0
9150,James Campos,+1-482-463-2279,james.campos@gmail.com,63,2024-12-27 19:17:15.985762,Desk Lamp|Phone|Mouse|Laptop,1916.93,10304.04,453,0
7684,Stephanie Moore,557-673-4194,stephanie.moore@gmail.com,65,2023-10-27 00:20:30.082768,Laptop,793.32,4084.37,881,0
6479,Rebecca Clark,586-638-6404x33375,rebecca.clark@hotmail.com,26,2025-03-09 19:33:14.789679,Desk Lamp|Laptop,1144.0,5543.85,381,0
9343,Antonio Johnson,807-550-4701x723,antonio.johnson@gmail.com,59,2021-11-16 02:32:10.383425,Mouse|Keyboard|Laptop|Desk Lamp,1342.73,11782.37,1591,0
9748,Stephanie West,599-469-0493x84116,stephanie.west@yahoo.com,36,2025-02-20 04:44:56.965486,Mouse|Keyboard|Laptop|Phone,274.65,492.15,399,0
8589,Jason Robinson,+1-615-836-1926x4418,jason.robinson@yahoo.com,30,2024-02-12 12:44:39.033146,Monitor|Laptop|Phone|Desk Lamp,1495.83,6286.73,773,1
2023,April Hudson,001-291-698-7237,april.hudson@yahoo.com,48,2024-04-16 01:17:06.686021,Keyboard,1076.01,9285.09,709,0
4110,Jennifer Porter,885.632.6707x8374,jennifer.porter@yahoo.com,21,2024-09-18 07:05:58.990290,Laptop|Desk Lamp,1709.84,14392.27,554,0
4155,Thomas Villegas,001-821-478-9192x196,thomas.villegas@gmail.com,62,2025-10-08 04:22:34.778035,Laptop,1529.74,5868.17,169,0
5485,James Chandler,001-519-989-3004x82323,james.chandler@yahoo.com,58,2022-02-24 09:31:04.203643,Monitor|Mouse|Keyboard|Laptop,751.11,1564.28,1491,0
4925,Karen Bennett,431.307.3100x105,karen.bennett@gmail.com,22,2022-08-03 10:22:35.959459,Monitor|Desk Lamp,206.84,1283.89,1331,0
5196,Lauren Hanna,959.727.8868x023,lauren.hanna@hotmail.com,62,2022-12-27 01:51:51.983680,Phone|Desk Lamp,1095.32,4348.17,1185,0
5904,Danielle Green,+1-464-759-8118x61359,danielle.green@hotmail.com,30,2024-10-05 04:59:52.605787,Monitor|Keyboard|Phone|Mouse,480.57,2427.73,537,1
2917,Michael Steele,470-956-7795,michael.steele@yahoo.com,31,2022-12-20 16:20:20.703196,Desk Lamp|Laptop|Mouse,740.43,3227.69,1192,0
5034,Cory Mann,001-630-964-0199,cory.mann@yahoo.com,37,2022-09-22 20:11:11.133305,Laptop|Desk Lamp,1746.93,5414.63,1280,0
4606,Amanda Smith,287-998-3952x3694,amanda.smith@hotmail.com,51,2021-07-03 15:22:10.943367,Mouse|Phone|Desk Lamp|Keyboard,279.66,1643.81,1727,0
9087,Christian Perry,001-805-898-7396,christian.perry@yahoo.com,53,2024-09-14 22:03:30.275061,Mouse,1506.86,11489.08,557,0
1415,Michelle Gonzales,669-226-7074x4748,michelle.gonzales@hotmail.com,20,2023-05-06 12:23:10.287282,Mouse|Desk Lamp,1936.19,4674.97,1055,0
6715,James Lopez,001-426-570-6167x905,james.lopez@gmail.com,46,2023-12-06 15:54:44.924055,Keyboard|Phone|Laptop,1656.47,6330.3,841,0
6335,Brenda Carroll,505-578-9850x2998,brenda.carroll@yahoo.com,44,2025-06-21 15:57:18.312656,Phone|Keyboard|Desk Lamp,1507.15,14045.85,278,0
4240,Wesley Leon,770-654-3693x9299,wesley.leon@gmail.com,36,2025-04-12 02:21:31.997740,Phone,1571.87,13643.17,348,0
8633,Jason Valdez,001-779-853-0703x5279,jason.valdez@gmail.com,39,2023-02-07 07:47:12.145747,Desk Lamp|Mouse|Laptop|Monitor,25.0,76.34,1143,0
8640,Timothy Edwards,542-390-6140,timothy.edwards@yahoo.com,62,2025-09-09 05:31:00.983015,Mouse|Monitor|Keyboard,1670.35,7780.86,198,0
1904,Margaret Duncan,(844)994-1645x6995,margaret.duncan@yahoo.com,22,2023-08-21 21:04:11.493512,Desk Lamp,524.91,3079.72,947,0
7126,Amanda Saunders,001-495-645-6427x47315,amanda.saunders@gmail.com,37,2026-02-09 17:40:43.255893,Mouse,546.8,2456.85,44,0
5295,Justin Smith,391.369.2050x3515,justin.smith@gmail.com,58,2022-08-30 07:11:28.718056,Laptop,1809.17,9294.45,1304,0
8433,Joann Cooke,+1-480-556-3025,joann.cooke@hotmail.com,56,2023-09-14 09:47:20.522656,Mouse|Monitor|Keyboard|Phone,1225.49,10220.28,924,0
